,sqft,url,price,locality,postalCode,Type,Year built,Heating,Cooling,Parking,Price/sqft,beds,baths,timeOnZillow,views,saves,zestimate,rentalZestimate,ele_rating,ele_dist,mid_rating,mid_dist,high_rating,high_dist,original_city
210,3737,https://www.zillow.com/homedetails/3238-Waverley-St-Palo-Alto-CA-94306/19502299_zpid/,4998000.0,Palo Alto,94306,Single Family,2008,Forced air,Central,0,1337,6,4,3.0,607,14,5057248,9785,8,0.3,9,0.4,9,1.5,palo-alto-ca
211,14000,https://www.zillow.com/homedetails/928-Laurel-Glen-Dr-Palo-Alto-CA-94304/19529354_zpid/,18500000.0,Palo Alto,94304,Single Family,1993,Forced air,Central,0,1321,5,6,8.0,1932,57,18313148,16146,8,2.8,8,3.7,9,3.3,palo-alto-ca
212,2070,https://www.zillow.com/homedetails/1885-Guinda-St-Palo-Alto-CA-94303/19469853_zpid/,4148845.0,Palo Alto,94303,Single Family,1945,Other,Central,0,0,3,3,303.0,4266,40,4142777,16146,8,2.8,8,3.7,9,3.3,palo-alto-ca
213,6024,https://www.zillow.com/homedetails/1501-Bryant-St-Palo-Alto-CA-94301/19496515_zpid/,18500000.0,Palo Alto,94301,Single Family,2018,Forced air,Central,0,3071,5,8,47.0,6983,138,18206877,21329,8,0.5,8,0.9,9,0.5,palo-alto-ca
214,1456,https://www.zillow.com/homedetails/3291-Berryessa-St-APT-3-Palo-Alto-CA-94303/116156749_zpid/,1388000.0,Palo Alto,94303,Townhouse,2011,"Forced air, Gas",Central,0,953,3,2,9.0,1581,73,1414909,4500,9,0.4,9,1.1,9,2.8,palo-alto-ca
215,1454,https://www.zillow.com/homedetails/555-Byron-St-APT-202-Palo-Alto-CA-94301/19494614_zpid/,988000.0,Palo Alto,94301,Condo,1997,"Forced air, Gas",Central,0,680,2,2,2.0,169,4,1010454,4000,8,0.4,8,1.6,9,0.8,palo-alto-ca
216,2156,https://www.zillow.com/homedetails/85-Roosevelt-Cir-Palo-Alto-CA-94306/19503300_zpid/,3288000.0,Palo Alto,94306,Single Family,2016,Radiant,Other,0,1525,3,3,4.0,1005,34,3402906,7264,9,0.3,9,0.2,9,1.4,palo-alto-ca
217,5063,https://www.zillow.com/homedetails/1919-Webster-St-Palo-Alto-CA-94301/124745961_zpid/,12999000.0,Palo Alto,94301,Single Family,2015,Forced air,Central,0,2567,6,6,89.0,4352,114,12536333,16553,8,0.3,8,0.4,9,1.1,palo-alto-ca
218,2200,https://www.zillow.com/homedetails/3561-Park-Blvd-Palo-Alto-CA-94306/19503537_zpid/,2700000.0,Palo Alto,94306,Single Family,2020,"Other, Solar",Other,0,1227,4,4,29.0,3863,70,2790476,3500,7,0.7,8,1.3,9,1.3,palo-alto-ca
219,1715,https://www.zillow.com/homedetails/3476-Greer-Rd-Palo-Alto-CA-94303/19500087_zpid/,2995000.0,Palo Alto,94303,Single Family,1957,Radiant,None,0,1746,5,3,8.0,1185,36,3019640,6494,9,0.1,9,0.8,9,2.3,palo-alto-ca
220,7200,https://www.zillow.com/homedetails/1001-Forest-Ave-Palo-Alto-CA-94301/19467522_zpid/,12300000.0,Palo Alto,94301,Single Family,1894,Forced air,None,0,1708,8,5,10.0,1476,29,12300073,8994,8,0.4,8,1.4,9,1.1,palo-alto-ca
221,4689,https://www.zillow.com/homedetails/780-Seale-Ave-Palo-Alto-CA-94303/19470007_zpid/,7500000.0,Palo Alto,94303,Single Family,2001,"Forced air, Gas",Central,0,1599,6,5,9.0,1490,56,7500048,14127,8,0.4,8,0.3,9,1.2,palo-alto-ca
222,3100,https://www.zillow.com/homedetails/1808-Mark-Twain-St-Palo-Alto-CA-94303/19469821_zpid/,5680000.0,Palo Alto,94303,Single Family,2020,"Forced air, Gas",Central,0,1832,5,6,10.0,1705,75,5685168,3500,8,0.3,8,0.4,9,1.2,palo-alto-ca
223,2241,https://www.zillow.com/homedetails/540-Irven-Ct-Palo-Alto-CA-94306/19506149_zpid/,2699999.0,Palo Alto,94306,Single Family,1935,"Forced air, Gas",None,0,1205,5,2,21.0,3799,91,2776538,6124,7,0.3,8,0.5,9,0.7,palo-alto-ca
224,1081,https://www.zillow.com/homedetails/3140-Cowper-St-Palo-Alto-CA-94306/19502702_zpid/,2398000.0,Palo Alto,94306,Single Family,1951,"Forced air, Gas",None,0,2218,3,2,68.0,3205,32,2403795,4700,8,0.3,9,0.6,9,1.7,palo-alto-ca
225,4512,https://www.zillow.com/homedetails/4152-Baker-Ave-Palo-Alto-CA-94306/19506206_zpid/,4888000.0,Palo Alto,94306,Single Family,2020,"Forced air, Gas",Central,0,1083,5,7,212.0,2386,83,4705000,4500,7,0.2,8,0.5,9,0.7,palo-alto-ca
226,2700,https://www.zillow.com/homedetails/709-Kendall-Ave-Palo-Alto-CA-94306/19505205_zpid/,4488000.0,Palo Alto,94306,Single Family,2020,"Forced air, Gas",Central,0,1662,5,4,30.0,3654,121,4556406,6038,7,0.2,8,1.0,9,0.9,palo-alto-ca
227,1895,https://www.zillow.com/homedetails/155-Embarcadero-Rd-Palo-Alto-CA-94301/153150203_zpid/,2765000.0,Palo Alto,94301,Single Family,1957,Forced air,None,0,1459,5,3,15.0,1954,52,2767913,3198,8,0.5,8,1.3,9,0.2,palo-alto-ca
228,1793,https://www.zillow.com/homedetails/3715-Lindero-Dr-Palo-Alto-CA-94306/19503376_zpid/,2599000.0,Palo Alto,94306,Single Family,1952,Radiant,None,0,1450,3,2,10.0,1236,18,2637654,4922,9,0.4,9,0.3,9,1.3,palo-alto-ca
229,1386,https://www.zillow.com/homedetails/2455-Chabot-Ter-Palo-Alto-CA-94303/19500071_zpid/,2250000.0,Palo Alto,94303,Single Family,1950,"Forced air, Other",None,0,1623,3,2,77.0,1549,25,2442709,5066,9,1.0,9,1.5,9,2.2,palo-alto-ca
230,886,https://www.zillow.com/homedetails/224-N-California-Ave-Palo-Alto-CA-94301/19496924_zpid/,1798000.0,Palo Alto,94301,Single Family,1934,None,None,0,2029,2,2,150.0,2775,33,1781841,4000,8,0.8,8,0.6,9,1.1,palo-alto-ca
231,4452,https://www.zillow.com/homedetails/905-Waverley-St-Palo-Alto-CA-94301/300481298_zpid/,5890000.0,Palo Alto,94301,Single Family,2020,Forced air,Central,0,1323,6,7,16.0,1779,68,5890020,3150,8,0.3,8,1.4,9,0.4,palo-alto-ca
232,4161,https://www.zillow.com/homedetails/567-Maybell-Ave-Palo-Alto-CA-94306/153161851_zpid/,4295000.0,Palo Alto,94306,Single Family,2020,"Forced air, Gas",Central,0,1032,5,7,204.0,1896,56,5890020,3150,8,0.3,8,1.4,9,0.4,palo-alto-ca
233,1420,https://www.zillow.com/homedetails/643-Maybell-Ave-Palo-Alto-CA-94306/19506274_zpid/,2488000.0,Palo Alto,94306,Single Family,1954,Forced air,None,0,1752,3,2,11.0,1323,40,2539100,4500,7,0.1,8,0.3,9,0.4,palo-alto-ca
234,4440,https://www.zillow.com/homedetails/1827-Cowper-St-Palo-Alto-CA-94301/19496452_zpid/,7988000.0,Palo Alto,94301,Single Family,2008,"Forced air, Radiant",Central,0,1799,6,4,9.0,1696,40,7988051,16183,7,0.1,8,0.3,9,0.4,palo-alto-ca
235,2819,https://www.zillow.com/homedetails/326-Addison-Ave-Palo-Alto-CA-94301/19495307_zpid/,7250000.0,Palo Alto,94301,Single Family,1907,Forced air,Central,0,2572,4,5,15.0,1527,13,7250044,12317,8,0.3,8,1.3,9,0.3,palo-alto-ca
236,1724,https://www.zillow.com/homedetails/1081-Forest-Ave-Palo-Alto-CA-94301/19467484_zpid/,4595000.0,Palo Alto,94301,Single Family,1917,Other,None,0,2665,4,2,5.0,823,21,4603524,5500,8,0.5,8,1.3,9,1.1,palo-alto-ca
237,1816,https://www.zillow.com/homedetails/3890-Corina-Way-Palo-Alto-CA-94303/19500987_zpid/,2688000.0,Palo Alto,94303,Single Family,1955,"Forced air, Gas",None,0,1480,5,3,18.0,1843,48,2642544,5692,9,0.5,9,0.7,9,2.1,palo-alto-ca
238,2330,https://www.zillow.com/homedetails/3980-El-Cerrito-Rd-Palo-Alto-CA-94306/19505835_zpid/,3900000.0,Palo Alto,94306,Single Family,1949,Radiant,None,0,1674,3,2,5.0,801,22,3920634,7631,7,0.4,8,0.7,9,0.4,palo-alto-ca
239,1663,https://www.zillow.com/homedetails/1420-Emerson-St-Palo-Alto-CA-94301/19497019_zpid/,3200000.0,Palo Alto,94301,Single Family,1923,"Forced air, Gas",None,0,1924,3,2,16.0,1878,71,3200026,7580,8,0.6,8,1.1,9,0.4,palo-alto-ca
240,6780,https://www.zillow.com/homedetails/1432-Webster-St-Palo-Alto-CA-94301/19494949_zpid/,15000000.0,Palo Alto,94301,Single Family,1914,Radiant,Central,0,2212,5,6,49.0,3720,87,14816760,6200,8,0.2,8,0.8,9,0.7,palo-alto-ca
241,3680,https://www.zillow.com/homedetails/1550-Waverley-St-Palo-Alto-CA-94301/19496525_zpid/,7750000.0,Palo Alto,94301,Single Family,1915,Forced air,Other,0,2106,5,3,100.0,2773,99,7552157,18334,8,0.4,8,0.8,9,0.6,palo-alto-ca
242,3638,https://www.zillow.com/homedetails/843-Sutter-Ave-Palo-Alto-CA-94303/19499571_zpid/,5888000.0,Palo Alto,94303,Single Family,2020,"Forced air, Gas",None,0,1618,5,5,34.0,2423,60,5845610,8290,9,0.6,9,0.9,9,2.1,palo-alto-ca
243,1646,https://www.zillow.com/homedetails/619-Maybell-Ave-Palo-Alto-CA-94306/19506293_zpid/,2749000.0,Palo Alto,94306,Single Family,1947,"None, Forced air",None,0,1670,3,2,11.0,1127,48,2778453,6138,7,0.1,8,0.3,9,0.5,palo-alto-ca
244,923,https://www.zillow.com/homedetails/3780-La-Selva-Dr-Palo-Alto-CA-94306/19505256_zpid/,1900000.0,Palo Alto,94306,Single Family,1930,"Forced air, Gas",None,0,2059,2,1,23.0,2651,50,2054342,4000,7,0.4,8,1.0,9,1.0,palo-alto-ca
245,2242,https://www.zillow.com/homedetails/320-Iris-Way-Palo-Alto-CA-94303/19468919_zpid/,3295000.0,Palo Alto,94303,Single Family,1948,"Forced air, Gas",None,0,1470,5,2,8.0,1040,41,3301113,7512,9,0.2,8,0.6,9,1.7,palo-alto-ca
246,1589,https://www.zillow.com/homedetails/555-Byron-St-APT-204-Palo-Alto-CA-94301/19494616_zpid/,1350000.0,Palo Alto,94301,Condo,1997,Forced air,Central,0,850,3,2,31.0,2532,41,1365307,4750,8,0.4,8,1.6,9,0.8,palo-alto-ca
247,2298,https://www.zillow.com/homedetails/327-Cowper-St-Palo-Alto-CA-94301/19495056_zpid/,3250000.0,Palo Alto,94301,Single Family,1905,"Forced air, Gas",None,0,1414,3,3,25.0,2468,55,3234126,7707,8,0.7,8,1.8,9,0.8,palo-alto-ca
248,1080,https://www.zillow.com/homedetails/425-Stanford-Ave-Palo-Alto-CA-94306/19497768_zpid/,2588000.0,Palo Alto,94306,Single Family,1924,Gas,None,0,2396,2,2,11.0,1297,27,2706256,4500,7,0.6,8,1.1,9,0.8,palo-alto-ca
249,2656,https://www.zillow.com/homedetails/3156-Ramona-St-Palo-Alto-CA-94306/19503148_zpid/,4298000.0,Palo Alto,94306,Single Family,2017,"Forced air, Gas",Central,0,1618,5,5,17.0,1947,63,4411847,9178,8,0.1,9,0.7,9,1.4,palo-alto-ca
250,2212,https://www.zillow.com/homedetails/642-Middlefield-Rd-Palo-Alto-CA-94301/243211452_zpid/,3395000.0,Palo Alto,94301,Single Family,2016,Heat pump,Central,0,1535,4,3,24.0,2871,59,3418427,3300,8,0.3,8,1.5,9,0.8,palo-alto-ca
251,2180,https://www.zillow.com/homedetails/1796-Hamilton-Ave-Palo-Alto-CA-94303/19468173_zpid/,3845000.0,Palo Alto,94303,Single Family,1950,Forced air,Central,0,1764,4,4,15.0,1945,72,3846131,7957,9,0.1,8,0.7,9,1.7,palo-alto-ca
252,6265,https://www.zillow.com/homedetails/1995-Waverley-St-Palo-Alto-CA-94301/19496624_zpid/,16380000.0,Palo Alto,94301,Single Family,2008,"Forced air, Radiant, Gas",Central,0,2615,5,6,492.0,2102,27,9777607,38975,8,0.5,8,0.5,9,1.0,palo-alto-ca
253,906,https://www.zillow.com/homedetails/2460-W-Bayshore-Rd-APT-9-Palo-Alto-CA-94303/19500171_zpid/,788000.0,Palo Alto,94303,Condo,1972,"Forced air, Gas",None,0,870,2,1,87.0,1974,41,782963,2850,9,1.0,9,1.5,9,2.3,palo-alto-ca
254,2745,https://www.zillow.com/homedetails/2886-Emerson-St-Palo-Alto-CA-94306/19503124_zpid/,2950000.0,Palo Alto,94306,Single Family,1950,"Forced air, Gas",Central,0,1075,6,3,23.0,2606,43,3332966,8750,8,0.2,9,0.9,9,1.6,palo-alto-ca
255,2795,https://www.zillow.com/homedetails/711-Mayview-Ave-Palo-Alto-CA-94303/19500360_zpid/,3750000.0,Palo Alto,94303,Single Family,2001,"Forced air, Gas",Central,0,1342,5,4,97.0,1789,44,3697138,7874,9,0.3,9,0.4,9,1.9,palo-alto-ca
256,2191,https://www.zillow.com/homedetails/764-Channing-Ave-Palo-Alto-CA-94301/19468330_zpid/,3988000.0,Palo Alto,94301,Single Family,1904,"Forced air, Radiant, Electric, Gas",Central,0,1820,4,3,73.0,2212,52,3966466,9047,8,0.6,8,1.2,9,0.8,palo-alto-ca
257,2999,https://www.zillow.com/homedetails/264-Oxford-Ave-Palo-Alto-CA-94306/19497651_zpid/,5598000.0,Palo Alto,94306,Single Family,2020,"Forced air, Gas",Central,0,1867,4,3,79.0,2378,81,5445327,8485,7,0.8,8,0.9,9,0.8,palo-alto-ca
258,4516,https://www.zillow.com/homedetails/1023-Forest-Ave-Palo-Alto-CA-94301/19467523_zpid/,4988800.0,Palo Alto,94301,Single Family,1900,"Forced air, Gas",Central,0,1105,4,4,17.0,1524,52,4988839,12014,8,0.4,8,1.3,9,1.1,palo-alto-ca
259,1032,https://www.zillow.com/homedetails/320-Curtner-Ave-APT-E-Palo-Alto-CA-94306/19504388_zpid/,949000.0,Palo Alto,94306,Condo,1981,"None, Baseboard",None,0,920,2,2,130.0,1826,19,939757,3600,7,0.6,8,1.1,9,1.2,palo-alto-ca
260,1913,https://www.zillow.com/homedetails/4238-Rickeys-Way-UNIT-D-Palo-Alto-CA-94306/82948027_zpid/,1799000.0,Palo Alto,94306,Townhouse,2007,Forced air,Central,0,940,3,3,89.0,1682,29,1799002,5200,7,0.5,8,0.5,9,0.9,palo-alto-ca
261,820,https://www.zillow.com/homedetails/437-Homer-Ave-Palo-Alto-CA-94301/19495223_zpid/,1318000.0,Palo Alto,94301,Condo,1981,"Radiant, Electric",None,0,1607,2,1,43.0,2197,48,1320827,3180,8,0.3,8,1.5,9,0.5,palo-alto-ca
262,4000,https://www.zillow.com/homedetails/734-Seneca-St-Palo-Alto-CA-94301/19468229_zpid/,7450000.0,Palo Alto,94301,Single Family,2002,"Radiant, Gas",None,0,1863,3,3,94.0,1917,69,7187530,19187,8,0.3,8,1.3,9,0.9,palo-alto-ca
263,1660,https://www.zillow.com/homedetails/1031-Fife-Ave-Palo-Alto-CA-94301/19467637_zpid/,3598000.0,Palo Alto,94301,Single Family,1954,"Forced air, Radiant",None,0,2167,3,2,44.0,3019,77,3596999,6735,8,0.4,8,1.3,9,1.0,palo-alto-ca
264,2596,https://www.zillow.com/homedetails/1071-E-Embarcadero-Rd-Palo-Alto-CA-94303/2077805744_zpid/,4249000.0,Palo Alto,94303,Single Family,2019,Forced air,Central,0,1637,4,4,15.0,1470,43,4275001,6735,8,0.4,8,1.3,9,1.0,palo-alto-ca
265,3514,https://www.zillow.com/homedetails/2991-Alexis-Dr-Palo-Alto-CA-94304/19529059_zpid/,3725000.0,Palo Alto,94304,Single Family,1978,"Forced air, Electric",Other,0,1060,4,3,227.0,2322,28,4275001,6735,8,0.4,8,1.3,9,1.0,palo-alto-ca
266,3595,https://www.zillow.com/homedetails/2510-Waverley-St-Palo-Alto-CA-94301/19502111_zpid/,4998000.0,Palo Alto,94301,Single Family,1937,"Forced air, Electric, Gas",None,0,1390,4,4,66.0,2331,50,4933633,10990,8,0.5,9,1.2,9,1.4,palo-alto-ca
267,1354,https://www.zillow.com/homedetails/555-Byron-St-APT-307-Palo-Alto-CA-94301/19494630_zpid/,995000.0,Palo Alto,94301,Condo,1997,Forced air,Central,0,735,2,2,301.0,1743,26,1368810,4195,8,0.4,8,1.6,9,0.8,palo-alto-ca
268,1197,https://www.zillow.com/homedetails/1982-W-Bayshore-Rd-APT-237-East-Palo-Alto-CA-94303/79845583_zpid/,798000.0,East Palo Alto,94303,Condo,2002,Forced air,Central,0,667,2,2,89.0,2428,71,788761,3500,2,1.9,8,2.9,9,0.8,palo-alto-ca
269,4672,https://www.zillow.com/homedetails/848-Southampton-Dr-Palo-Alto-CA-94303/19469668_zpid/,5988000.0,Palo Alto,94303,Single Family,2008,"Radiant, Electric",Central,0,1282,5,6,136.0,1872,55,5774939,12379,8,0.6,8,0.1,9,1.5,palo-alto-ca
270,2640,https://www.zillow.com/homedetails/1314-Parkinson-Ave-Palo-Alto-CA-94301/19469192_zpid/,4195000.0,Palo Alto,94301,Single Family,1995,"Forced air, Gas",Central,0,1589,3,3,15.0,1436,36,4254498,8818,8,0.2,8,0.6,9,1.1,palo-alto-ca
271,5058,https://www.zillow.com/homedetails/2808-Bryant-St-Palo-Alto-CA-94306/19502620_zpid/,5880000.0,Palo Alto,94306,Single Family,2020,"Forced air, Electric, Gas",Central,0,1163,6,8,71.0,1960,62,5783928,7669,8,0.2,9,1.0,9,1.6,palo-alto-ca
272,5726,https://www.zillow.com/homedetails/417-Seneca-St-Palo-Alto-CA-94301/122248636_zpid/,6988000.0,Palo Alto,94301,Single Family,2017,"Forced air, Radiant, Gas",Central,0,1220,6,5,87.0,2100,52,6748219,15231,8,0.6,8,1.6,9,1.0,palo-alto-ca
273,1015,https://www.zillow.com/homedetails/436-High-St-APT-105-Palo-Alto-CA-94301/19496088_zpid/,1399888.0,Palo Alto,94301,Condo,1984,"Radiant, Electric",None,0,1379,2,2,25.0,1344,23,1419693,4695,8,0.8,8,1.9,9,0.6,palo-alto-ca
274,1247,https://www.zillow.com/homedetails/149-California-Ave-A306-Palo-Alto-CA-94306/19497869_zpid/,1398888.0,Palo Alto,94306,Condo,1982,"Forced air, Gas",Central,0,1122,2,2,14.0,991,20,1430353,3995,7,0.9,8,0.8,9,1.1,palo-alto-ca
275,5939,https://www.zillow.com/homedetails/251-Middlefield-Rd-Palo-Alto-CA-94301/300472178_zpid/,7777777.0,Palo Alto,94301,Single Family,1915,"Forced air, Electric","Other, Wall",0,1310,11,10,129.0,1592,21,7414165,2850,8,0.7,8,1.8,9,1.0,palo-alto-ca
276,3073,https://www.zillow.com/homedetails/1280-Lincoln-Ave-Palo-Alto-CA-94301/19466947_zpid/,4750000.0,Palo Alto,94301,Single Family,1925,"Forced air, Gas",None,0,1546,4,4,8.0,686,30,4752970,11846,9,0.9,8,1.3,9,1.3,palo-alto-ca
277,960,https://www.zillow.com/homedetails/4250-El-Camino-Real-A301-Palo-Palo-Alto-CA-94306/112095601_zpid/,1075000.0,Palo Alto,94306,Condo,1983,"Radiant, Electric",None,0,1120,2,1,25.0,1539,16,871989,3100,7,0.5,8,0.4,9,0.8,palo-alto-ca
278,1468,https://www.zillow.com/homedetails/685-High-St-APT-2C-Palo-Alto-CA-94301/19496019_zpid/,1695000.0,Palo Alto,94301,Condo,1981,"Wall, Electric",None,0,1155,2,3,70.0,1389,20,1671372,4500,8,0.7,8,1.7,9,0.4,palo-alto-ca
279,1572,https://www.zillow.com/homedetails/1070-Colorado-Pl-Palo-Alto-CA-94303/19501300_zpid/,1425000.0,Palo Alto,94303,Townhouse,1981,Forced air,Central,0,906,2,3,65.0,1354,33,1415499,4200,9,0.6,9,1.1,9,2.5,palo-alto-ca
280,2023,https://www.zillow.com/homedetails/1075-Forest-Ave-Palo-Alto-CA-94301/19467528_zpid/,4995000.0,Palo Alto,94301,Single Family,1952,Forced air,None,0,2469,4,3,5.0,369,5,5021083,8345,8,0.5,8,1.3,9,1.1,palo-alto-ca
281,3421,https://www.zillow.com/homedetails/1290-Pitman-Ave-Palo-Alto-CA-94301/153114888_zpid/,6488000.0,Palo Alto,94301,Single Family,1937,"Forced air, Gas",Central,0,1897,4,4,136.0,1643,42,6561531,11979,9,0.7,8,1.1,9,1.2,palo-alto-ca
282,4659,https://www.zillow.com/homedetails/780-Rosewood-Dr-Palo-Alto-CA-94303/19499926_zpid/,6998000.0,Palo Alto,94303,Single Family,2006,"Forced air, Gas",Central,0,1502,5,5,184.0,1564,43,6170535,16610,8,0.6,9,1.0,9,1.9,palo-alto-ca
283,2377,https://www.zillow.com/homedetails/1007-Forest-Ct-Palo-Alto-CA-94301/19467521_zpid/,4100000.0,Palo Alto,94301,Single Family,1975,Forced air,Central,0,1725,3,2,10.0,728,22,4107606,8994,8,0.5,8,1.4,9,1.1,palo-alto-ca
284,776,https://www.zillow.com/homedetails/1982-W-Bayshore-Rd-APT-232-East-Palo-Alto-CA-94303/79844504_zpid/,718000.0,East Palo Alto,94303,Condo,2002,"Forced air, Electric",Central,0,925,1,1,7.0,387,3,619661,2853,2,1.9,8,2.9,9,1.1,palo-alto-ca
285,3517,https://www.zillow.com/homedetails/734-Channing-Ave-Palo-Alto-CA-94301/153115561_zpid/,6488000.0,Palo Alto,94301,Single Family,2020,"Forced air, Gas",Central,0,1845,6,5,136.0,1446,38,6260127,9755,8,0.6,8,1.2,9,0.8,palo-alto-ca
286,1503,https://www.zillow.com/homedetails/101-Alma-St-APT-607-Palo-Alto-CA-94301/19495766_zpid/,1299000.0,Palo Alto,94301,Condo,1960,Forced air,Central,0,864,2,2,51.0,1878,38,1336826,4500,8,1.1,8,2.2,9,0.9,palo-alto-ca
287,912,https://www.zillow.com/homedetails/1089-Forest-Ave-Palo-Alto-CA-94301/19467527_zpid/,3995000.0,Palo Alto,94301,Single Family,1949,Forced air,None,0,4380,3,1,5.0,306,7,4033762,5950,8,0.5,8,1.3,9,1.1,palo-alto-ca
288,1030,https://www.zillow.com/homedetails/777-San-Antonio-Rd-APT-108-Palo-Alto-CA-94303/19500918_zpid/,1100000.0,Palo Alto,94303,Condo,1974,Forced air,None,0,1068,2,2,25.0,1291,14,1119987,3500,9,0.8,9,0.9,9,2.1,palo-alto-ca
289,1866,https://www.zillow.com/homedetails/520-Rhodes-Dr-Palo-Alto-CA-94303/19467198_zpid/,3200000.0,Palo Alto,94303,Single Family,1950,"Forced air, Gas",Central,0,1715,4,3,262.0,931,18,3200006,8147,9,0.2,8,0.9,9,1.9,palo-alto-ca
290,3801,https://www.zillow.com/homedetails/733-E-Meadow-Dr-Palo-Alto-CA-94303/304782397_zpid/,4780000.0,Palo Alto,94303,Single Family,2020,"Forced air, Heat pump, Gas","Central, Wall",0,1258,6,6,149.0,1423,36,4624130,2995,9,0.4,9,0.4,9,1.9,palo-alto-ca
291,4356,https://www.zillow.com/homedetails/475-Melville-Ave-Palo-Alto-CA-94301/19495366_zpid/,5498000.0,Palo Alto,94301,Single Family,1911,"Forced air, Gas","Central, Wall",0,1262,5,6,102.0,1544,38,5531971,13402,8,0.4,8,1.0,9,0.6,palo-alto-ca
292,1387,https://www.zillow.com/homedetails/1245-Alma-St-Palo-Alto-CA-94301/19496984_zpid/,1898000.0,Palo Alto,94301,Condo,1990,"Forced air, Gas",None,0,1368,2,3,26.0,1600,28,1937494,4000,8,0.8,8,1.3,9,0.2,palo-alto-ca
293,4818,https://www.zillow.com/homedetails/2500-Bryant-St-Palo-Alto-CA-94301/19502609_zpid/,6450000.0,Palo Alto,94301,Single Family,2008,"Forced air, Gas",Central,0,1339,5,6,100.0,1797,32,6274988,12241,8,0.4,9,1.2,9,1.4,palo-alto-ca
294,1902,https://www.zillow.com/homedetails/923-Cowper-St-Palo-Alto-CA-94301/153149075_zpid/,3298000.0,Palo Alto,94301,Multiple Occupancy,1948,None,None,0,0,Studio,2,45.0,1380,23,3298005,3500,8,0.2,8,1.3,9,0.5,palo-alto-ca
295,2170,https://www.zillow.com/homedetails/344-Emerson-St-Palo-Alto-CA-94301/19495507_zpid/,3500000.0,Palo Alto,94301,Multiple Occupancy,1912,Electric,None,0,0,Studio,2,19.0,2003,30,3498510,7863,8,0.9,8,2.0,9,0.7,palo-alto-ca
296,3579,https://www.zillow.com/homedetails/2250-Byron-St-Palo-Alto-CA-94301/19496392_zpid/,6800000.0,Palo Alto,94301,Single Family,1938,Other,Central,0,1900,5,4,26.0,2030,17,5611839,12203,8,0.6,8,0.2,9,1.3,palo-alto-ca
297,4002,https://www.zillow.com/homedetails/939-University-Ave-Palo-Alto-CA-94301/19466758_zpid/,6990000.0,Palo Alto,94301,Single Family,1916,Forced air,Central,0,1747,6,6,68.0,1548,36,6804646,16304,8,0.5,8,1.6,9,1.1,palo-alto-ca
298,4492,https://www.zillow.com/homedetails/569-Maybell-Ave-Palo-Alto-CA-94306/2079275496_zpid/,5295000.0,Palo Alto,94306,Single Family,2020,"Forced air, Gas",Central,0,1179,5,7,121.0,891,23,5105967,16304,8,0.5,8,1.6,9,1.1,palo-alto-ca
299,908,https://www.zillow.com/homedetails/296-Waverley-St-Palo-Alto-CA-94301/2130898517_zpid/,1385000.0,Palo Alto,94301,Condo,1973,Gas,None,0,1525,2,2,64.0,1176,13,1416930,3895,8,0.8,8,1.9,9,0.8,palo-alto-ca
300,1472,https://www.zillow.com/homedetails/1721-Horner-Way-Fremont-CA-94536/25011076_zpid/,1079000.0,Fremont,94536,Single Family,1954,Gas,Central,0,733,4,2,1.0,586,21,1021420,3300,8,0.4,7,1.0,9,0.9,fremont-ca
301,1557,https://www.zillow.com/homedetails/37135-Cabrillo-Dr-Fremont-CA-94536/25006285_zpid/,1098000.0,Fremont,94536,Single Family,1964,"Forced air, Gas",Central,0,705,4,2,1.0,532,49,1209638,3500,7,0.6,8,0.4,10,0.9,fremont-ca
302,1376,https://www.zillow.com/homedetails/44-Snyder-Way-Fremont-CA-94536/25019689_zpid/,1090000.0,Fremont,94536,Single Family,1981,Forced air,None,0,792,3,2,1.0,462,41,1015034,3250,8,0.5,7,1.8,9,1.9,fremont-ca
303,1390,https://www.zillow.com/homedetails/2822-Arlington-Pl-Fremont-CA-94555/25047672_zpid/,1100000.0,Fremont,94555,Single Family,1971,Gas,Central,0,791,3,2,1.0,356,28,1033563,3200,8,0.6,8,2.2,10,1.8,fremont-ca
304,1638,https://www.zillow.com/homedetails/111-Branta-Cmn-Fremont-CA-94539/250132801_zpid/,949000.0,Fremont,94539,Townhouse,2017,Forced air,Central,0,579,3,4,1.0,542,32,870711,3300,7,0.9,7,2.7,9,2.3,fremont-ca
305,1933,https://www.zillow.com/homedetails/34258-Trampini-Cmn-81-Fremont-CA-94555/25059455_zpid/,1098000.0,Fremont,94555,Townhouse,1992,"Forced air, Gas",Central,0,568,3,3,3.0,1196,76,1136951,3800,8,1.1,8,2.9,10,3.0,fremont-ca
306,1858,https://www.zillow.com/homedetails/178-Stevenson-Blvd-Fremont-CA-94539/250135372_zpid/,1398000.0,Fremont,94539,Single Family,2019,"Forced air, Gas",Central,0,752,4,4,1.0,340,4,1413809,3800,8,1.1,8,2.9,10,3.0,fremont-ca
307,1136,https://www.zillow.com/homedetails/4543-San-Juan-Ave-Fremont-CA-94536/25005077_zpid/,899950.0,Fremont,94536,Single Family,1954,Wall,None,0,792,3,2,3.0,1260,64,947809,3200,5,0.4,7,1.4,9,1.8,fremont-ca
308,1639,https://www.zillow.com/homedetails/48619-Carlsbad-Rd-Fremont-CA-94539/25027844_zpid/,1399800.0,Fremont,94539,Single Family,1977,Forced air,None,0,854,3,2,1.0,503,11,1354216,4001,10,1.3,8,4.9,9,4.7,fremont-ca
