sqft,url,price,locality,postalCode,Type,Year built,Heating,Cooling,Parking,Price/sqft,beds,baths,timeOnZillow,views,saves,zestimate,rentalZestimate,ele_rating,ele_dist,mid_rating,mid_dist,high_rating,high_dist,original_city
"2,052",https://www.zillow.com/homedetails/1837-Curtner-Ave-San-Jose-CA-95124/19689592_zpid/,"$1,295,000",San Jose,95124,Single Family,1965,"Forced air, Gas",Central,0,$631,4,3.0,2 days,872,66,"$1,446,977","$4,400/mo",7,0.2 mi,8,0.5 mi,8,1.9 mi,san-jose-ca
"2,041",https://www.zillow.com/homedetails/237-Rayos-Del-Sol-Dr-San-Jose-CA-95116/79843095_zpid/,"$899,000",San Jose,95116,Single Family,2006,"Forced air, Gas",Central,0,$440,4,3.0,27 days,"5,091",281,"$938,086","$4,000/mo",3,0.5 mi,3,1.4 mi,6,1.6 mi,san-jose-ca
"3,368",https://www.zillow.com/homedetails/2255-Mazzaglia-Ave-San-Jose-CA-95125/19687248_zpid/,"$2,895,000",San Jose,95125,Single Family,2020,"Forced air, Electric, Gas",Central,0,$860,5,5.0,1 day,473,22,"$1,377,162","$3,300/mo",8,1 mi,5,0.3 mi,7,0.4 mi,san-jose-ca
"1,362",https://www.zillow.com/homedetails/1-E-Julian-St-UNIT-307-San-Jose-CA-95112/89462789_zpid/,"$849,500",San Jose,95112,Condo,2008,"Forced air, Gas",Central,0,$624,3,3.0,1 day,272,10,"$850,894","$3,400/mo",2,0.7 mi,3,0.9 mi,3,1.5 mi,san-jose-ca
"1,291",https://www.zillow.com/homedetails/1043-Esparanza-Way-San-Jose-CA-95138/19811584_zpid/,"$699,000",San Jose,95138,Condo,1999,"Forced air, Gas",Central,0,$541,2,3.0,1 day,177,5,"$737,489","$3,100/mo",7,0.1 mi,6,2 mi,6,3.6 mi,san-jose-ca
877,https://www.zillow.com/homedetails/122-Monte-Verano-Ct-San-Jose-CA-95116/69300748_zpid/,"$459,000",San Jose,95116,Condo,1988,Radiant,Wall,0,$523,2,1.0,1 day,390,13,"$458,232","$2,300/mo",3,0.5 mi,4,0.8 mi,4,0.7 mi,san-jose-ca
"1,456",https://www.zillow.com/homedetails/110-S-Sunset-Ave-San-Jose-CA-95116/19718719_zpid/,"$839,000",San Jose,95116,Single Family,1920,"Forced air, Gas",Other,0,$576,4,3.0,5 days,"1,999",81,"$827,693","$2,600/mo",5,0.3 mi,3,0.3 mi,6,1.1 mi,san-jose-ca
"2,052",https://www.zillow.com/homedetails/1837-Curtner-Ave-San-Jose-CA-95124/19689592_zpid/,"$1,295,000",San Jose,95124,Single Family,1965,"Forced air, Gas",Central,0,$631,4,3.0,2 days,872,66,"$1,446,977","$4,400/mo",7,0.2 mi,8,0.5 mi,8,1.9 mi,san-jose-ca
"3,398",https://www.zillow.com/homedetails/951-Riverside-Dr-San-Jose-CA-95125/19578434_zpid/,"$2,795,000",San Jose,95125,Single Family,1928,"Forced air, Gas",Central,0,$823,4,4.0,3 days,868,43,"$2,746,698","$6,082/mo",5,0.8 mi,5,1.6 mi,7,1.5 mi,san-jose-ca
"2,401",https://www.zillow.com/homedetails/1107-Nevada-Ave-San-Jose-CA-95125/19681497_zpid/,"$2,549,000",San Jose,95125,Single Family,2016,"Forced air, Gas",Central,0,"$1,062",4,3.0,2 days,636,29,"$1,203,312","$4,000/mo",5,0.1 mi,5,0.7 mi,7,0.7 mi,san-jose-ca
